,artist,title,year,†artist,*artist
N00534,Joseph Mallord William Turner,"St Benedetto, Looking towards Fusina",1800,1851,1775
N05520,Joseph Mallord William Turner,Seascape with a Sailing Boat and a Ship,1800,1851,1775
N01555,Walter Dendy Sadler,Thursday,1880,1923,1854
T00807,Peter Monamy,Ships in Distress in a Storm,1700,1749,1681
T07460,Per Kirkeby,The Siege of Constantinople,1960,2018,1938
N06261,Johan Zoffany,The Bradshaw Family,1760,1810,1733
T07138,Robert Motherwell,Iberia No. II,1940,1991,1915
N06192,Michel Larionov,Nocturne,1910,1964,1881
T12609,Thomas Gainsborough,Mr and Mrs Carter,1750,1788,1727
N00121,Benjamin West,"Cleombrotus Ordered into Banishment by Leonidas II, King of Sparta",1770,1820,1738
N04271,James Tissot,Summer (‘Portrait’),1860,1902,1836
N05690,Richard Eurich,Night Raid on Portsmouth Docks,1930,1992,1903
N00799,Benjamin West,Mrs Worrell as Hebe,1770,1820,1738
N05405,Duncan Grant,Vanessa Bell,1920,1978,1885
T00500,Edward Bower,Sir John Drake,1640,1667,1629
N05513,Joseph Mallord William Turner,Landscape with Water,1800,1851,1775
T03572,Pablo Picasso,Dish of Pears,1910,1973,1881
N05753,John Martin,The Coronation of Queen Victoria,1810,1854,1789
T03705,Constant (Constant A. Nieuwenhuys),"After Us, Liberty",1950,2005,1920
N00511,Joseph Mallord William Turner,"View of Orvieto, Painted in Rome",1800,1851,1775
N00369,Joseph Mallord William Turner,"The Prince of Orange, William III, Embarked from Holland, and Landed at Torbay, November 4th, 1688, after a Stormy Passage",1800,1851,1775
N06199,Pierre Soulages,"Painting, 23 May 1953",1920,1919,1919
N05906,Georges Rouault,The Italian Woman,1900,1958,1871
N05552,Lucien Pissarro,"Ivy Cottage, Coldharbour: Sun and Snow",1890,1944,1863
N03000,Sir John Lavery,Le Mort du Cygne: Anna Pavlova,1880,1941,1856
T07500,Patrick Heron,Yellow Painting : October 1958 May/June 1959,1950,1999,1920
N02854,Walter Howell Deverell,A Pet,1840,1854,1827
N00795,George Cruikshank,The Worship of Bacchus,1820,1878,1792
T06750,John Michael Wright,Portrait of Mrs Salesbury with her Grandchildren Edward and Elizabeth Bagot,1640,1694,1617
N05882,Joseph Wright of Derby,"A Moonlight with a Lighthouse, Coast of Tuscany",1750,1797,1734
N01586,Sir Edward Poynter,A Visit to Aesculapius,1860,1919,1836
N05461,Graham Bell,Miss Anne Popham,1920,1943,1910
N00122,Sir David Wilkie,The Village Holiday,1800,1841,1785
N01635,George Frederic Watts,Death Crowning Innocence,1850,1904,1817
N02870,Henry Walton,Plucking the Turkey,1770,1813,1746
T04848,Rev. Matthew William Peters,Lydia,1770,1814,1742
N04718,Henri Matisse,Nude Study in Blue,1900,1954,1869
T00303,Robert Helman,Candile,1940,1990,1910
T12313,Marlene Dumas,Lucy,1950,1953,1953
T00359,Sir Stanley Spencer,The Centurion’s Servant,1910,1959,1891
N05612,Gilbert Stuart,Portrait of a Man (Self-portrait?),1780,1828,1755
T07452,Colin Smith,Wardrobe 16,1950,1953,1953
N04664,Joseph Mallord William Turner,Stormy Sea with Dolphins,1800,1851,1775
N01980,Joseph Mallord William Turner,Rough Sea with Wreckage,1800,1851,1775
T03573,Auguste Renoir,Nude on a Couch,1870,1919,1841
T03373,Tilly Kettle,Mrs Yates as Mandane in ‘The Orphan of China’,600,1786,5
T03883,Joseph Mallord William Turner,"The Lake, Petworth: Sunset, Fighting Bucks",1800,1851,1775
N01987,Joseph Mallord William Turner,Breakers on a Flat Beach,1800,1851,1775
T02110,Richard Redgrave,The Emigrant’s Last Sight of Home,1830,1888,1804
N00425,John Rogers Herbert,Sir Thomas More and his Daughter,1840,1890,1810
T06996,Jan Siberechts,"View of a House and its Estate in Belsize, Middlesex",1650,1700,1627
N01589,Alfred Parsons,‘When Nature Painted all Things Gay’,1870,1920,1847
N03176,Ambrose McEvoy,The Ear-Ring,1890,1927,1877
T07478,Ellsworth Kelly,Orange Relief with Green,1950,2015,1923
N04401,Edward Atkinson Hornel,Autumn,1890,1933,1864
T04863,André Derain,Still Life,1900,1954,1880
T07594,Henry Walton,A Girl Buying a Ballad,1770,1813,1746
T14240,Wilhelm Sasnal,Gaddafi 2,1970,1972,1972
N03953,Sir William Rothenstein,The Princess Badroulbadour,1900,1945,1872
N04694,Sir Joshua Reynolds,The Hon. Miss Monckton,1750,1792,1723
T05500,Raoul Dufy,The Kessler Family on Horseback,1900,1953,1877
N05176,"Sir Edward Coley Burne-Jones, Bt",Vespertina Quies,1850,1898,1833
N01642,George Frederic Watts,‘She shall be called woman’,1850,1904,1817
N05374,Philip Wilson Steer,Southwold,1890,1942,1860
T01531,Ad Reinhardt,Abstract Painting,1930,1967,1913
N00409,Sir Edwin Henry Landseer,King Charles Spaniels (‘The Cavalier’s Pets’),1830,1873,1802
N03574,Joseph Highmore,VII: Pamela in the Bedroom with Mrs Jewkes and Mr B.,1720,1780,1692
N04831,Lovis Corinth,The Temptation of St Anthony after Gustave Flaubert,1880,1925,1858
T07822,John Constable,"Fen Lane, East Bergholt",1800,1837,1776
N05666,Graham Sutherland OM,Welsh Landscape with Roads,1930,1980,1903
N01540,Benjamin Williams Leader,The Valley of the Llugwy,1860,1923,1831
N02424,Joseph Mallord William Turner,"The Ponte Delle Torri, Spoleto",1800,1851,1775
N01833,Thomas Stothard,Lord William Russell Taking Leave of his Children,1780,1834,1755
T00746,Gilbert Soest,"Henry Howard, 6th Duke of Norfolk",1630,1681,1605
T01772,R.B. Kitaj,The Man of the Woods and the Cat of the Mountains,1960,2007,1932
T11862,John Constable,A Cornfield,1800,1837,1776
T03691,Joan Miró,Message from a Friend,1920,1983,1893
N01571,John MacWhirter,June in the Austrian Tyrol,1860,1911,1839
T01138,Philip James De Loutherbourg,The Vision of the White Horse,1760,1812,1740
N05479,Joseph Mallord William Turner,Rough Sea,1800,1851,1775
T06961,Peter Howson,Plum Grove,1960,1958,1958
N01161,William Hogarth,"Lavinia Fenton, Duchess of Bolton",1720,1764,1697
N04232,Félix Vallotton,Road at St Paul (Var),1880,1925,1865
N05729,Leonard Rosoman,Bomb Falling into Water,1950,2012,1913
T03960,Winifred Nicholson,Flower Table,1920,1981,1893
T00368,Henri Matisse,Standing Nude,1900,1954,1869
N00133,John Hoppner,William Smith the Actor,1780,1810,1758
N05660,Jack Butler Yeats,The Two Travellers,1900,1957,1871
N06086,Sir Matthew Smith,"Nude, Fitzroy Street, No. 1",1910,1959,1879
N05981,George Lambert,"A View of Box Hill, Surrey",1720,1765,1700
N00549,Joseph Mallord William Turner,"Undine Giving the Ring to Massaniello, Fisherman of Naples",1800,1851,1775
N00486,Joseph Mallord William Turner,"Ploughing Up Turnips, near Slough (‘Windsor’)",1800,1851,1775
N04839,Ernest Procter,The Zodiac,1900,1935,1886
N04043,Arthur Melville,Audrey and her Goats,1870,1904,1855
N06036,Cecil Collins,The Sleeping Fool,1930,1989,1908
N03509,Alvaro Guevara,Dame Edith Sitwell,1910,1951,1894
T06488,Marmaduke Cradock,A Peacock and Other Birds in a Landscape,1680,1717,1660
T01895,Johan Zoffany,Mr and Mrs Dalton and their Niece Mary de Heulle,1760,1810,1733
T13654,Lynette Yiadom-Boakye,The Generosity,1980,1977,1977
N02116,Sir William Rothenstein,Jews Mourning in a Synagogue,1900,1945,1872
T03365,Gavin Hamilton,Agrippina Landing at Brindisium with the Ashes of Germanicus,1750,1798,1723
N02132,Alfred Stevens,John Morris Moore,1840,1875,1817
T13861,Hedda Sterne,"NY, NY No. X",1940,2011,1910
T00831,William Scott,"Orange, Black and White Composition",1940,1989,1913
N01521,Sir William Quiller Orchardson,Her Mother’s Voice,1860,1910,1832
T13703,Alice Neel,Ethel Ashton,1930,1984,1900
N05990,Fernand Léger,Keys (Composition),1910,1955,1881
T07198,Leon Kossoff,Self-Portrait,1930,1926,1926
T00690,William Hodges,Tomb and Distant View of Rajmahal Hills,1760,1797,1744
T05746,George Dawe,Naomi and her Daughters,1800,1829,1781
T01079,Berthe Morisot,Girl on a Divan,1860,1895,1841
N04088,Gwen John,Chloë Boughton-Leigh,1900,1939,1876
N00471,Joseph Mallord William Turner,Jason,1800,1851,1775
T14241,Wilhelm Sasnal,Gaddafi 1,1970,1972,1972
N03709,John Singer Sargent,"Alfred, Son of Asher Wertheimer",1880,1925,1856
T06819,André Masson,Pedestal Table in the Studio,1930,1987,1896
T03668,John Hill,"Interior of the Carpenter’s Shop at Forty Hill, Enfield",1800,1841,1780
N01638,George Frederic Watts,Sic Transit,1850,1904,1817
N05516,Joseph Mallord William Turner,Seascape with Distant Coast,1800,1851,1775
N03573,Joseph Highmore,I: Mr B. Finds Pamela Writing,1720,1780,1692
N02002,Joseph Mallord William Turner,"Sunrise, with a Boat between Headlands",1800,1851,1775
T06482,Fiona Rae,Untitled (yellow),1960,1963,1963
T12511,Thomas Daniell,"Sir Charles Warre Malet, Concluding a Treaty in 1790 in Durbar with the Peshwa of the Maratha Empire",1780,1840,1749
TW0850,Joseph Mallord William Turner,"Fishermen upon a Lee-Shore, in Squally Weather",1800,1851,1775
T14388,Ibrahim El-Salahi,They Always Appear,1930,1930,1930
T03928,John Wonnacott,The Norwich School of Art,1940,1940,1940
N02280,George Romney,William Pitt the Younger,1760,1802,1734
N01658,James Lambert,Landscape,90,88,88
T00217,Robert Delaunay,Study for ‘The City’,1900,1941,1885
T00692,Chaïm Soutine,Landscape at Céret,1910,1943,1893
T03540,Stephen McKenna,An English Oak Tree,2020,2017,2017
T14734,George Condo,Mental States,1960,1957,1957
N04180,John Singer Sargent,The Misses Hunter,1880,1925,1856
L02877,Leonora Carrington,Eluhim,1950,2011,1917
T00253,James Brooks,Boon,1930,1992,1906
N05393,Sir Stanley Spencer,The Bridge,1910,1959,1891
N04818,J. McIntosh Patrick,Winter in Angus,1940,1998,1907
N03967,Alexander Young Jackson,The Entrance to Halifax Harbour,1910,1974,1882
T00461,Victor Vasarely,Nives II,1940,1997,1908
N00485,Joseph Mallord William Turner,Abingdon,1800,1851,1775
N01513,James Clarke Hook,Young Dreams,1850,1907,1819
T03033,"Unknown artist, Britain","Portrait of Anne Wortley, Later Lady Morton",0,-1,-1
N01350,Sir Edwin Henry Landseer,Study of a Lion,1830,1873,1802
T06786,Maggi Hambling,Portrait of Frances Rose,1940,1945,1945
N00356,William Etty,"Youth on the Prow, and Pleasure at the Helm",1810,1849,1787
N05462,Pierre Bonnard,Pont de la Concorde,1890,1947,1867
N00885,Sir Joshua Reynolds,A Nymph and Cupid: ‘The Snake in the Grass’,1750,1792,1723
T00671,Sir Roland Penrose,Le Grand Jour,1930,1984,1900
T07292,Maria Lalic,History Painting 42 C20th. Winsor Yellow,1950,1952,1952
T01252,Oskar Kokoschka,View of the Thames,1920,1980,1886
N01813,John Constable,"Branch Hill Pond, Hampstead Heath, with a Boy Sitting on a Bank",1800,1837,1776
N04484,Sir George Clausen,Brown Eyes,1880,1944,1852
T00659,Euan Uglow,Nude,1950,2000,1932
TW0522,Joseph Mallord William Turner,"The Battle of Trafalgar, 21 October 1805",1800,1851,1775
N02702,Joseph Mallord William Turner,Shipping at the Mouth of the Thames,1800,1851,1775
T00795,William Scott,Berlin Blues 4,1940,1989,1913
T00172,Rodrigo Moynihan,Objective Abstraction,1940,1990,1910
N06237,Frances Hodgkins,Wings over Water,1890,1947,1869
N05255,Ivon Hitchens,Damp Autumn,1920,1979,1893
N05031,William Stott of Oldham,Prince or Shepherd? (Prince ou Berger?),1870,1900,1857
N03713,John Singer Sargent,"Almina, Daughter of Asher Wertheimer",1880,1925,1856
N00886,Sir Joshua Reynolds,Admiral Viscount Keppel,1750,1792,1723
T03454,Christopher Le Brun PRA,"Dream, Think, Speak",1950,1951,1951
N01283,Thomas Gainsborough,Wooded Landscape with a Peasant Resting,1750,1788,1727
N01030,George Morland,Inside of a Stable,1780,1804,1763
N05845,Thomas Gainsborough,Landscape with Gipsies,1750,1788,1727
N05643,John Brett,Glacier of Rosenlaui,1850,1902,1831
N01647,George Frederic Watts and assistants,Chaos,1850,1904,1817
T01161,Richard Smith,Riverfall,1960,2016,1931
T03065,Philip Mercier,The Schutz Family and their Friends on a Terrace,1710,1760,1689
N00273,Sir Godfrey Kneller,John Smith the Engraver,1670,1723,1646
N04224,Samuel John Peploe,Tulips,1890,1935,1871
N03178,Sir William Nicholson,The Lowestoft Bowl,1900,1949,1872
T14002,Saloua Raouda Choucair,Composition with Two Ovals,1950,2017,1916
N03885,Dame Ethel Walker,Decoration: The Excursion of Nausicaa,1890,1951,1861
N00553,Joseph Mallord William Turner,Mercury Sent to Admonish Aeneas,1800,1851,1775
T00197,Victor Pasmore,The Quiet River: The Thames at Chiswick,1940,1998,1908
T13227,Harold Gilman,Nude at a Window,1890,1919,1876
T05854,Michael Ayrton,The Captive Seven,1940,1975,1921
T01705,George Stubbs,A Couple of Foxhounds,1750,1806,1724
T12260,William Ratcliffe,Hampstead Garden Suburb from Willifield Way,1900,1955,1870
N06003,Camille Pissarro,A Corner of the Meadow at Eragny,1850,1903,1830
T03359,William Ratcliffe,Clarence Gardens,1900,1955,1870
N02997,Sir William Orpen,The Angler,1900,1931,1878
N00608,Sir Edwin Henry Landseer,Alexander and Diogenes,1830,1873,1802
N00481,Joseph Mallord William Turner,Spithead: Two Captured Danish Ships Entering Portsmouth Harbour,1800,1851,1775
T01960,Spencer Gore,The Cinder Path,1890,1914,1878
T07706,André Fougeron,Massacre at Sakiet III,1940,1998,1913
N00108,Richard Wilson,"Distant View of Maecenas’ Villa, Tivoli",1740,1782,1713
N06243,Sir Joshua Reynolds,Lady Anstruther,1750,1792,1723
N01040,William James Müller,A Mountain Stream,1820,1845,1812
N05323,Charles Mahoney,Adam and Eve in the Garden of Eden,1920,1968,1903
N00188,Sir Thomas Lawrence,Mrs Siddons,1790,1830,1769
N04703,Sir Gerald Kelly,The Jester (W. Somerset Maugham),1910,1972,1879
N05212,Evelyn Dunbar,Winter Garden,1920,1960,1906
T00724,Avinash Chandra,Hills of Gold,1950,1991,1931
N03452,"Sir Edward Coley Burne-Jones, Bt",The Temple of Love,1850,1898,1833
N01982,Stephen Slaughter,The Betts Family,1720,1765,1697
N00893,Sir Thomas Lawrence,Princess Lieven,1790,1830,1769
T00096,Harold Gilman,Edwardian Interior,1890,1919,1876
T14296,Anthony Whishaw,Corrida,1930,1930,1930
N01687,George Frederic Watts,The All-Pervading,1850,1904,1817
N05632,"Sir John Everett Millais, Bt","‘The Moon is Up, and Yet it is not Night’",1850,1896,1829
T03249,Robert Fagan,"Anna Maria Ferri, the Artist’s First Wife",1770,1816,1745
N05495,Joseph Mallord William Turner,Waves Breaking on a Shore,1800,1851,1775
N01403,Henry Robert Morland,A Laundry Maid Ironing,1740,1797,1716
T01518,Theodor von Holst,The Fairy Lovers,1820,1844,1810
T06523,Josef Herman,"Evening, Ystradgynlais",1940,2000,1911
T07505,Gawen Hamilton,The Du Cane and Boehm Family Group,1710,1737,1698
T05757,Duncan Grant,Garden Path in Spring,1920,1978,1885
N01644,George Frederic Watts,Eve Repentant,1850,1904,1817
N06283,Joseph Mallord William Turner,Palestrina - Composition,1800,1851,1775
T02132,Chaïm Soutine,Cagnes Landscape with Tree,1910,1943,1893
T00251,Jean Metzinger,Woman with a Coffee Pot,1910,1956,1883
N03626,Robert Braithwaite Martineau,Picciola,1840,1869,1826
N04610,William McTaggart,The Emigrants,1860,1910,1835
N05776,John Linnell,Kensington Gravel Pits,1820,1882,1792
T03838,John Craxton,Pastoral for P.W.,1950,2009,1922
T11789,Clive Branson,Bombed Women and Searchlights,1920,1944,1907
T07038,Mark Wallinger,Half-Brother (Exit to Nowhere - Machiavellian),1960,1959,1959
N05160,Charles Shannon,The Bath of Venus,1890,1937,1863
N05833,Camille Pissarro,"The Pilots’ Jetty, Le Havre, Morning, Cloudy and Misty Weather",1850,1903,1830
N03824,Sir George Clausen,"The Road, Winter Morning",1880,1944,1852
T07431,Boris Taslitzky,Riposte,1940,2005,1911
T12548,Sir Stanley Spencer,The Woolshop,1910,1959,1891
T03671,Arnulf Rainer,Wine Crucifix,1930,1929,1929
N04861,Gwen John,The Convalescent,1900,1939,1876
N05911,Robert Bevan,The Cab Horse,1880,1925,1865
N03836,Vanessa Bell,Chrysanthemums,1910,1961,1879
T00051,Ben Nicholson OM,Feb 28-53 (vertical seconds),1920,1982,1894
T01455,John Rogers Herbert,Laborare est Orare,1840,1890,1810
N00787,John Singleton Copley,"The Siege and Relief of Gibraltar, 13 September 1782; ?replica",1760,1815,1738
T07733,Cecil Collins,The Artist and his Wife,1930,1989,1908
N00559,Joseph Mallord William Turner,Petworth Park: Tillington Church in the Distance,1800,1851,1775
N00504,Joseph Mallord William Turner,"Forum Romanum, for Mr Soane’s Museum",1800,1851,1775
T01182,Pierre Roy,A Naturalist’s Study,1900,1950,1880
N01772,Ralph Peacock,The Sisters,1890,1946,1868
N01563,"Sir John Everett Millais, Bt",Saint Stephen,1850,1896,1829
N04749,Henry Lamb,The Artist’s Wife,1910,1960,1883
T02215,Ivon Hitchens,"Autumn Composition, Flowers on a Table",1920,1979,1893
T02018,Attributed to John Frederick Herring Junior,Farmyard Scene,1850,1907,1816
T07058,Joanna Mary Wells,Portrait of Sidney Wells,1840,1861,1831
T07896,Sir Anthony Van Dyck,Portrait of Sir William Killigrew,1610,1641,1599
T07433,Lisa Milroy,Girl with Sunglasses,1960,1959,1959
T14409,Mary Fedden,Red Still Life,1950,2012,1915
T00575,Milton Avery,Yellow Sky,1920,1965,1893
T07864,Johan Zoffany,"Three Daughters of John, 3rd Earl of Bute",1760,1810,1733
T03226,Julian Trevelyan,"Interior, Hammersmith",1940,1988,1910
N04633,Frederic George Stephens,The Proposal (The Marquis and Griselda),1850,1907,1827
N01549,Albert Moore,Blossoms,1860,1893,1841
T03902,John Constable,Ann Constable,1800,1837,1776
N03707,John Singer Sargent,"Hylda, Daughter of Asher and Mrs Wertheimer",1880,1925,1856
T05464,Mary Potter,Still Life,1930,1981,1900
T03542,Maggi Hambling,Max Wall and his Image,1940,1945,1945
T01514,Duncan Grant,Venus and Adonis,1920,1978,1885
N00501,Joseph Mallord William Turner,"Entrance of the Meuse: Orange-Merchant on the Bar, Going to Pieces; Brill Church bearing S. E. by S., Masensluys E. by S.",1800,1851,1775
N01618,Henry Scott Tuke,All Hands to the Pumps,1880,1929,1858
T03400,Sir Roland Penrose,Portrait,1930,1984,1900
N05260,"Sir John Everett Millais, Bt",Miss Eveleen Tennant,1850,1896,1829
N03015,"Frederic, Lord Leighton",Helios and Rhodes,1850,1896,1830
T03895,Thomas Gainsborough,The Rev. John Chafy Playing the Violoncello in a Landscape,1750,1788,1727
N05517,Joseph Mallord William Turner,Two Recumbent Nude Figures,1800,1851,1775
TW0360,Joseph Mallord William Turner,The Wreck Buoy,1800,1851,1775
N06245,William Scott,Mackerel on a Plate,1940,1989,1913
N03705,John Singer Sargent,Asher Wertheimer,1880,1925,1856
T03792,Sir William Nicholson,"Harbour in Snow, La Rochelle",1900,1949,1872
T03982,Sir Godfrey Kneller,"John Smith, Speaker of the House of Commons",1670,1723,1646
T03068,Sir William Coldstream,On the Map,1930,1987,1908
N03393,John Brett,Lady with a Dove (Madame Loeser),1850,1902,1831
T00319,David Bomberg,"Study for ‘Sappers at Work: A Canadian Tunnelling Company, Hill 60, St Eloi’",1910,1957,1890
N04996,Albert Rutherston,Laundry Girls,1900,1953,1881
T07391,William Roberts,The Temptation of St Anthony,1920,1980,1895
T05497,Jean Hélion,Nude with Loaves,1930,1987,1904
N01900,Albert Goodwin,Ali Baba and the Forty Thieves,1870,1932,1845
N05050,Charles Ginner,The Café Royal,1900,1952,1878
N02659,John Constable,Trees at Hampstead,1800,1837,1776
T00662,Olwyn Bowey,Portrait Sketch of L.S. Lowry,1940,1936,1936
N01569,John Macallan Swan,The Prodigal Son,1870,1910,1847
N05288,Walter Richard Sickert,The Little Tea Party: Nina Hamnett and Roald Kristian,1890,1942,1860
T03435,James Pollard,"The ‘Tally-Ho’ London - Birmingham Stage Coach Passing Whittington College, Highgate",1820,1867,1792
N06213,William Marlow,Capriccio: St Paul’s and a Venetian Canal,1760,1813,1740
N04726,Marie Laurencin,"Portraits (Marie Laurencin, Cecilia de Madrazo and the Dog Coco)",1910,1956,1885
T06466,Peter Lanyon,Headland,1930,1964,1918
T03208,Sir Lawrence Gowing,Portrait of Sir Norman Reid,1940,1991,1918
N01526,Thomas Faed,Faults on Both Sides,1850,1900,1826
T05866,Lovis Corinth,Magdalen with Pearls in her Hair,1880,1925,1858
T03962,Frank Bramley,Primrose Day,1880,1915,1857
N05325,Dod Procter,The Orchard,1920,1972,1892
N01790,Charles Robert Leslie,Lady Jane Grey Prevailed on to Accept the Crown,1820,1859,1794
T07556,"George Lambert, Francis Hayman","View of Copped Hall in Essex, from across the Lake",1730,1765,1708
N04838,Dame Laura Knight,Spring,1910,1970,1877
T00053,Sir Nathaniel Dance-Holland,Thomas Nuthall with a Dog and Gun,1760,1811,1735
N00525,Joseph Mallord William Turner,Bacchus and Ariadne,1800,1851,1775
N01777,Robert Smirke,"The Afflicted Matron, the Countess Trifaldi, from ‘Don Quixote’",1780,1845,1752
N05799,Sir Joshua Reynolds,Suzanna Beckford,1750,1792,1723
T07434,Lisa Milroy,Room,1960,1959,1959
N01605,Henry Herbert La Thangue,The Man with the Scythe,1880,1929,1859
N05695,Charles Ginner,Emergency Water Storage Tank,1900,1952,1878
T12293,John Constable,The Glebe Farm,1800,1837,1776
N06183,Graham Sutherland OM,Head III,1930,1980,1903
N01396,George Romney,Mr and Mrs William Lindow,1760,1802,1734
T03431,Benjamin Marshall,"James Belcher, Bare-Knuckle Champion of England",1790,1835,1768
N01617,John Brett,Britannia’s Realm,1850,1902,1831
N01391,Frederick Walker,The Harbour of Refuge,1850,1875,1840
TW1368,Joseph Mallord William Turner,"High Street, Oxford",1800,1851,1775
N03400,George Romney,The Beaumont Family,1760,1802,1734
N05642,Sir William Nicholson,Studio Still Life,1900,1949,1872
N04923,Ivon Hitchens,Winter Stage,1920,1979,1893
T01998,Hilda Carline,Self-Portrait,1910,1950,1889
N03550,Joseph Mallord William Turner,"Music Party, East Cowes Castle",1800,1851,1775
N05901,John Singer Sargent,Mrs Frederick Barnard,1880,1925,1856
T01996,Winifred Nicholson,Moonlight and Lamplight,1920,1981,1893
T07646,Desmond Morris,The Arena,1930,1928,1928
N06193,Natalia Goncharova,Three Young Women,1910,1962,1881
N04958,James Bateman,Cattle Market,1910,1959,1893
L02925,Sir Joshua Reynolds,Master Crewe as Henry VIII,1750,1792,1723
T03094,Adolph Gottlieb,The Alchemist,1930,1974,1903
N00132,Benjamin West,The Last Supper,1770,1820,1738
N03137,Daniel Stringer,Portrait of the Artist,1770,1808,1754
N01557,John Robertson Reid,A Country Cricket Match,1880,1926,1851
N01626,Joseph Farquharson,The Joyless Winter Day,1880,1935,1847
N01648,David Farquharson,In a Fog,1860,1907,1839
T05572,Francis Barlow,Monkeys and Dogs Playing,1650,1704,1626
T07142,Nancy Spero,Lovers,1950,2009,1926
N05132,Mary Potter,Golden Kipper,1930,1981,1900
T00330,Philip Sutton,The Tree,1930,1928,1928
N00892,Sir Joshua Reynolds,Lesbia,1750,1792,1723
T12540,R.B. Kitaj,Erasmus Variations,1960,2007,1932
T03364,Philip Guston,Black Sea,1940,1980,1913
N01580,William Lionel Wyllie,"Toil, Glitter, Grime and Wealth on a Flowing Tide",1880,1931,1851
T03702,Simeon Solomon,A Youth Relating Tales to Ladies,1860,1905,1840
N05091,Walter Richard Sickert,Woman Washing her Hair,1890,1942,1860
N03181,Walter Richard Sickert,George Moore,1890,1942,1860
N03221,Charles Ricketts,Don Juan,1890,1931,1866
T03574,Auguste Renoir,Peaches and Almonds,1870,1919,1841
N01600,John Robertson Reid,Toil and Pleasure,1880,1926,1851
T11922,Alice Neel,Dominican Boys on 108th Street,1930,1984,1900
T03541,Stephen McKenna,Venus and Adonis,2020,2017,2017
T05023,Maggi Hambling,Minotaur Surprised while Eating,1940,1945,1945
T11790,Clive Branson,Blitz: Plane Flying,1920,1944,1907
T05770,John Minton,Portrait of Kevin Maybury,1930,1957,1917
N05447,Tristram Hillier,La Route des Alpes,1930,1983,1905
N00375,Henry Perronet Briggs,The First Interview between the Spaniards and the Peruvians,1810,1844,1791
T03265,David Bomberg,Self-Portrait,1910,1957,1890
N01697,William Lionel Wyllie,The Battle of the Nile,1880,1931,1851
T04996,"Sir Cedric Morris, Bt",Landscape of Shame,1920,1982,1889
N01631,George Frederic Watts,The Dweller in the Innermost,1850,1904,1817
TW1072,Joseph Mallord William Turner,Self-Portrait at the Age of Sixteen,1800,1851,1775
N05439,Philip Wilson Steer,Boulogne Sands,1890,1942,1860
N04766,Sydney Starr,Study in Blue and Grey,1880,1925,1857
N02943,George Romney,Mrs Robert Trotter of Bush,1760,1802,1734
T14495,Joan Carlile,Portrait of an Unknown Lady,1630,1679,1606
N01877,William Westall,The Commencement of the Deluge,1800,1850,1781
T00141,Sir Stanley Spencer,Dinner on the Hotel Lawn,1910,1959,1891
N04673,Walter Richard Sickert,Miss Gwen Ffrangcon-Davies as Isabella of France,1890,1942,1860
N05247,John Singer Sargent,"Jean, Wife of Colonel Ian Hamilton",1880,1925,1856
N03575,Joseph Highmore,IX: Pamela is Married,1720,1780,1692
T07704,André Fougeron,The Cock Fighters,1940,1998,1913
N06225,Roy De Maistre,Still Life: Fruit,1920,1968,1894
T01715,Gillian Ayres OBE,Break-off,1960,2018,1930
T03665,Richard Wilson,Westminster Bridge under Construction,1740,1782,1713
N05964,James Abbott McNeill Whistler,Miss Agnes Mary Alexander,1860,1903,1834
TW0972,Joseph Mallord William Turner,"Raby Castle, the Seat of the Earl of Darlington",1800,1851,1775
TW1068,Joseph Mallord William Turner,"Bonneville, Savoy, with Mont Blanc",1800,1851,1775
N01068,George Romney,A Lady in a Brown Dress: ‘The Parson’s Daughter’,1760,1802,1734
N04376,James Northcote,A Young Lady Playing the Harp,1770,1831,1746
N05951,Ben Nicholson OM,"1928 (foothills, Cumberland)",1920,1982,1894
T07746,Malcolm Morley,Mariner,1960,2018,1931
T00579,Manolo Millares,Painting 150,1940,1972,1926
N01529,Andrew Carrick Gow,A Musical Story by Chopin,1870,1920,1848
T07050,Thomas Wade,Turf Cutters,1850,1891,1828
T01254,Maurice de Vlaminck,Landscape near Martigues,1900,1958,1876
T07492,Nicola Tyson,Swimmer,1960,1960,1960
N00518,Joseph Mallord William Turner,Heidelberg,1800,1851,1775
T12309,Judit Reigl,Guano,1920,1923,1923
T03206,Paul Nash,Harbour and Room,1910,1946,1889
N06079,Rodrigo Moynihan,Portrait Group,1940,1990,1910
T03232,"Sir Cedric Morris, Bt",David and Barbara Carr,1920,1982,1889
T03111,William Jones,Damon and Phillida Reconciled: A Scene from Colley Cibber’s ‘Damon and Phillida’,1740,1749,1738
N05803,Thomas Gainsborough,"Gypsy Encampment, Sunset",1750,1788,1727
T00859,Elizabeth Blackadder,Still Life with Pomegranates,1930,1931,1931
N03815,Aubrey Beardsley,Caprice. Verso: Masked Woman with a White Mouse,1880,1898,1872
N00557,Joseph Mallord William Turner,View of Richmond Hill and Bridge,1800,1851,1775
N00312,George Romney,Lady Hamilton (?as a Figure in ‘Fortune Telling’),1760,1802,1734
N03954,Frederick Cayley Robinson,Pastoral,1880,1927,1862
T01974,Sir Thomas Lawrence,Homer Reciting his Poems,1790,1830,1769
N03217,Lucy Kemp-Welch,Forward the Guns!,1900,1958,1869
T06521,Spencer Gore,Rule Britannia,1890,1914,1878
T06746,Thomas Gainsborough,"Peter Darnell Muilman, Charles Crokatt and William Keable in a Landscape",1750,1788,1727
T06498,Mary Fedden,The Etching Table,1950,2012,1915
