,artist,title,year,†artist,*artist
N00458,Joseph Mallord William Turner,Self-Portrait,1800,1851,1775
N01679,Herbert Draper,The Lament for Icarus,1880,1920,1863
N03177,Christopher Richard Wynne Nevinson,La Mitrailleuse,1910,1946,1889
T02053,George Grosz,Suicide,1910,1959,1893
T05846,Joseph Wright of Derby,"Vesuvius in Eruption, with a View over the Islands in the Bay of Naples",1750,1797,1734
T00336,Max Ernst,Men Shall Know Nothing of This,1920,1976,1891
T00436,Jackson Pollock,Yellow Islands,1930,1956,1912
T07467,Peter Doig,Echo Lake,1960,1959,1959
T05028,Georges Braque,Glass on a Table,1910,1963,1882
N03053,Dante Gabriel Rossetti,The Beloved (‘The Bride’),1850,1882,1828
T00680,René Magritte,Man with a Newspaper,1920,1967,1898
N01576,Arthur Hacker,The Annunciation,1880,1919,1858
L01895,Pablo Picasso,"Bowl of Fruit, Violin and Bottle",1910,1973,1881
N04872,Dante Gabriel Rossetti,The Girlhood of Mary Virgin,1850,1882,1828
L01682,Gerhard Richter,Grey,1930,1932,1932
T03790,Peter Blake,"‘The Meeting’ or ‘Have a Nice Day, Mr Hockney’",1930,1932,1932
T01927,John Martin,The Last Judgement,1810,1854,1789
N00615,William Powell Frith,The Derby Day,1850,1909,1819
T00459,Francis Bacon,Seated Figure,1940,1992,1909
N05504,Joseph Mallord William Turner,The Fall of Anarchy (?),1800,1851,1775
T03979,Jackson Pollock,Birth,1930,1956,1912
T03846,Mark Gertler,Merry-Go-Round,1910,1939,1891
T00876,Henry Fuseli,"The Shepherd’s Dream, from ‘Paradise Lost’",1770,1825,1741
N00604,Sir Edwin Henry Landseer,Dignity and Impudence,1830,1873,1802
L03007,Pablo Picasso,Bust of a Woman,1910,1973,1881
T03335,Sir Stanley Spencer,Self-Portrait,1910,1959,1891
T06995,Sir Nathaniel Bacon,Cookmaid with Still Life of Vegetables and Fruit,1600,1627,1585
T07645,André Fougeron,Atlantic Civilisation,1940,1998,1913
N04270,Dod Procter,Morning,1920,1972,1892
N05667,Paul Nash,Landscape from a Dream,1910,1946,1889
N03280,Augustus Leopold Egg,"Past and Present, No. 3",1830,1863,1816
N04725,Paul Cézanne,Still Life with Water Jug,1860,1906,1839
N00510,Joseph Mallord William Turner,Pilate Washing his Hands,1800,1851,1775
N04720,Pablo Picasso,Girl in a Chemise,1910,1973,1881
N00371,Joseph Mallord William Turner,The Golden Bough,1800,1851,1775
T06856,Johan Zoffany,Colonel Mordaunt’s Cock Match,1760,1810,1733
N03279,Augustus Leopold Egg,"Past and Present, No. 2",1830,1863,1816
T07448,Christopher Richard Wynne Nevinson,The Soul of the Soulless City (‘New York - an Abstraction’),1910,1946,1889
T02414,Francis Bacon,Study for Portrait II (after the Life Mask of William Blake),1940,1992,1909
N02881,Joseph Mallord William Turner,Waves Breaking against the Wind,1800,1851,1775
N03419,James Abbott McNeill Whistler,Nocturne: Black and Gold - The Fire Wheel,1860,1903,1834
N01508,"Sir John Everett Millais, Bt",The Knight Errant,1850,1896,1829
T06532,Lisa Milroy,Shoes,1960,1959,1959
N05665,William Holman Hunt,"Our English Coasts, 1852 (‘Strayed Sheep’)",1850,1910,1827
T01222,Giacomo Balla,Abstract Speed - The Car has Passed,1900,1958,1871
N05381,"Sir Edward Coley Burne-Jones, Bt",Love and the Pilgrim,1850,1898,1833
N00519,Joseph Mallord William Turner,Regulus,1800,1851,1775
T00915,Piet Mondrian,No. VI / Composition No.II,1900,1944,1872
T06670,Joseph Wright of Derby,An Iron Forge,1750,1797,1734
T01979,Salvador Dalí,Mountain Lake,1930,1989,1904
T00110,Christopher Richard Wynne Nevinson,The Arrival,1910,1946,1889
T00566,Peter Blake,On the Balcony,1930,1932,1932
T03067,Ernst Ludwig Kirchner,Bathers at Moritzburg,1900,1938,1880
N06030,André Derain,The Pool of London,1900,1954,1880
L03637,Lucian Freud,David and Eli,1950,2011,1922
N00550,Joseph Mallord William Turner,The Angel Standing in the Sun,1800,1851,1775
T05722,Lucian Freud,Standing by the Rags,1950,2011,1922
T01134,Patrick Caulfield,Pottery,1960,2005,1936
T00790,William Hogarth,"Satan, Sin and Death (A Scene from Milton’s ‘Paradise Lost’)",1720,1764,1697
T01582,Ad Reinhardt,Abstract Painting No. 5,1930,1967,1913
N00500,Joseph Mallord William Turner,The Field of Waterloo,1800,1851,1775
N04820,Meredith Frampton,Portrait of a Young Woman,1920,1984,1894
T04367,René Magritte,The Annunciation,1920,1967,1898
T00134,Paul Delvaux,Sleeping Venus,1930,1994,1897
T00879,Francis Bacon,Portrait of Isabel Rawsthorne,1940,1992,1909
T00397,George Elgar Hicks,Woman’s Mission: Companion of Manhood,1850,1914,1824
N04567,Duncan Grant,Bathing,1920,1978,1885
N04810,John Constable,Sketch for ‘Hadleigh Castle’,1800,1837,1776
N00529,Joseph Mallord William Turner,War. The Exile and the Rock Limpet,1800,1851,1775
T04148,Mark Rothko,Untitled,1930,1970,1903
N00560,Joseph Mallord William Turner,Chichester Canal,1800,1851,1775
T00226,Francis Bacon,Study for Portrait of Van Gogh IV,1940,1992,1909
N01691,"Sir John Everett Millais, Bt",The Boyhood of Raleigh,1850,1896,1829
T06928,Pablo Picasso,Head of a Woman,1910,1973,1881
N06189,Maria Helena Vieira da Silva,The Corridor,1940,1992,1908
T00928,Angelica Kauffman,Portrait of a Lady,1760,1807,1741
L02264,Christian Schad,"Agosta, the Pigeon-Chested Man, and Rasha, the Black Dove",1920,1982,1894
T02035,Fernand Léger,Still Life with a Beer Mug,1910,1955,1881
N03173,Gwen John,Nude Girl,1900,1939,1876
N04134,Pierre Bonnard,The Table,1890,1947,1867
T04905,Alberto Giacometti,Jean Genet,1920,1966,1901
T00548,Max Ernst,Forest and Dove,1920,1976,1891
N05591,George Romney,Emma Hart as Circe,1760,1802,1734
T02211,Piet Mondrian,The Tree A,1900,1944,1872
N05992,L.S. Lowry,"The Old House, Grove Street, Salford",1920,1976,1887
N02437,William Hogarth,A Scene from ‘The Beggar’s Opera’ VI,1720,1764,1697
N00544,Joseph Mallord William Turner,Going to the Ball (San Martino),1800,1851,1775
N05767,Richard Dadd,The Flight out of Egypt,1840,1886,1817
N05941,Francis Bacon,Figure in a Landscape,1940,1992,1909
T01337,Francis Danby,The Deluge,1820,1861,1793
T14415,Fahrelnissa Zeid,Untitled,1930,1991,1901
T03670,Pablo Picasso,Nude Woman with Necklace,1910,1973,1881
T01091,Barnett Newman,Adam,1930,1970,1905
N04713,Vincent van Gogh,Farms near Auvers,1870,1890,1853
T04904,John Constable,"The Opening of Waterloo Bridge (‘Whitehall Stairs, June 18th, 1817’)",1800,1837,1776
T06808,Juan Gris,Bottle of Rum and Newspaper,1900,1927,1887
N04783,John Singer Sargent,The Black Brook,1880,1925,1856
N06067,Georges Seurat,"Le Bec du Hoc, Grandcamp",1870,1891,1859
T03818,John Piper,Covehithe Church,1930,1992,1903
T03676,Christopher Richard Wynne Nevinson,Bursting Shell,1910,1946,1889
N05456,Frances Hodgkins,Loveday and Ann: Two Women with a Basket of Flowers,1890,1947,1869
N03846,Walter Richard Sickert,Ennui,1890,1942,1860
N05976,Giorgio de Chirico,The Painter’s Family,1920,1978,1888
T00656,David Bomberg,The Mud Bath,1910,1957,1890
N04183,Claude Monet,Poplars on the Epte,1870,1926,1840
N00531,Joseph Mallord William Turner,Shade and Darkness - the Evening of the Deluge,1800,1851,1775
T00936,Pierre Bonnard,The Bowl of Milk,1890,1947,1867
T00902,Atkinson Grimshaw,Liverpool Quay by Moonlight,1850,1893,1836
T05207,Gerhard Richter,St John,1930,1932,1932
T05075,Sir William Rothenstein,Mother and Child,1900,1945,1872
N01394,Ford Madox Brown,Jesus Washing Peter’s Feet,1840,1893,1821
T02080,Vanessa Bell,Studland Beach. Verso: Group of Male Nudes by Duncan Grant,1910,1961,1879
T02000,Thomas Gainsborough,Giovanna Baccelli,1750,1788,1727
T03252,Max Ernst,Pietà or Revolution by Night,1920,1976,1891
T12038,Christopher Wood,Zebra and Parachute,1910,1930,1901
T06634,David Bomberg,"Trees in Sun, Cyprus",1910,1957,1890
T03327,Jackson Pollock,Naked Man with Knife,1930,1956,1912
T13869,Agostino Brunias,Dancing Scene in the West Indies,1750,1796,1730
N04724,Paul Cézanne,The Gardener Vallier,1860,1906,1839
T00246,Fernand Léger,Two Women Holding Flowers,1910,1955,1881
N00497,Joseph Mallord William Turner,Crossing the Brook,1800,1851,1775
T00913,David Bomberg,In the Hold,1910,1957,1890
N00460,Joseph Mallord William Turner,"Buttermere Lake, with Part of Cromackwater, Cumberland, a Shower",1800,1851,1775
N05366,Gwen John,Self-Portrait,1900,1939,1876
N01566,Briton Riviere,Sympathy,1870,1920,1840
N00480,Joseph Mallord William Turner,"The Battle of Trafalgar, as Seen from the Mizen Starboard Shrouds of the Victory",1800,1851,1775
N01607,John William North,The Winter Sun,1870,1924,1841
N02661,John Constable,Dedham Lock and Mill,1800,1837,1776
N05804,Marc Chagall,Bouquet with Flying Lovers,1920,1985,1887
T03107,Patrick Heron,Azalea Garden : May 1956,1950,1999,1920
N05909,Alberto Giacometti,Seated Man,1920,1966,1901
